"nodenames","colorh1","essentiality"
"CG7434","grey",2
"CG7447","red",1
"CG7518","grey",1
"CG7546","grey",1
"CG7548","blue",1
"CG7552","turquoise",NA
"CG7570","black",NA
"CG7605","red",1
"CG7611","grey",1
"CG7622","grey",2
"CG7641","grey",NA
"CG7660","grey",NA
"CG7697","grey",1
"CG7725","grey",NA
"CG7761","grey",1
"CG7763","grey",NA
"CG7787","green",1
"CG7808","grey",1
"CG7838","grey",2
"CG7867","grey",2
"CG7885","grey",2
"CG7911","grey",1
"CG7919","grey",1
"CG7928","grey",1
"CG7937","grey",NA
"CG7945","black",NA
"CG7948","blue",NA
"CG7952","brown",2
"CG7954","green",NA
"CG7967","grey",1
"CG7977","grey",1
"CG7987","grey",NA
"CG8049","turquoise",2
"CG8068","brown",2
"CG8079","green",1
"CG8092","grey",1
"CG8120","black",NA
"CG8155","brown",1
"CG8159","grey",1
"CG8173","grey",NA
"CG8189","grey",1
"CG8198","grey",NA
"CG8204","grey",1
"CG8206","grey",1
"CG8216","green",NA
"CG8219","green",NA
"CG8232","grey",1
"CG8235","grey",1
"CG8247","grey",1
"CG8264","grey",1
"CG8277","grey",NA
"CG8280","grey",2
"CG8282","grey",1
"CG8286","black",1
"CG8291","turquoise",1
"CG8292","black",1
"CG8301","grey",1
"CG8316","grey",NA
"CG8319","grey",NA
"CG8328","turquoise",NA
"CG8357","grey",1
"CG8361","grey",1
"CG8364","green",1
"CG8367","turquoise",2
"CG8368","grey",1
"CG8383","grey",NA
"CG8414","grey",1
"CG8415","grey",1
"CG8417","brown",NA
"CG8440","turquoise",2
"CG8449","brown",1
"CG8472","grey",NA
"CG8495","grey",NA
"CG8506","grey",1
"CG8548","grey",1
"CG8556","turquoise",NA
"CG8569","grey",1
"CG8580","grey",1
"CG8591","blue",1
"CG8597","grey",2
"CG8598","grey",1
"CG8609","grey",1
"CG8614","grey",2
"CG8642","grey",1
"CG8667","blue",NA
"CG8676","blue",2
"CG8697","black",1
"CG8704","turquoise",2
"CG8725","grey",2
"CG8759","grey",1
"CG8815","grey",NA
"CG8823","blue",NA
"CG8831","grey",1
"CG8841","grey",1
"CG8843","black",1
"CG8851","grey",1
"CG8854","grey",1
"CG8857","grey",1
"CG8863","grey",1
"CG8884","grey",1
"CG8893","grey",NA
"CG8900","grey",1
"CG8907","grey",1
"CG8924","yellow",NA
"CG8927","grey",1
"CG8929","grey",1
"CG8933","yellow",NA
"CG8942","green",1
"CG8947","grey",1
"CG8965","grey",1
"CG8980","grey",1
"CG8981","red",1
"CG8997","grey",1
"CG9012","turquoise",NA
"CG9014","green",1
"CG9025","grey",1
"CG9027","blue",1
"CG9036","grey",1
"CG9046","blue",1
"CG9060","grey",1
"CG9071","blue",NA
"CG9075","red",2
"CG9083","grey",NA
"CG9091","red",1
"CG9099","grey",1
"CG9113","grey",1
"CG9117","grey",1
"CG9160","grey",2
"CG9163","grey",NA
"CG9170","grey",NA
"CG9173","green",NA
"CG9184","grey",1
"CG9188","grey",1
"CG9192","grey",1
"CG9193","blue",2
"CG9238","grey",1
"CG9242","brown",2
"CG9277","grey",NA
"CG9283","grey",1
"CG9285","grey",NA
"CG9291","grey",NA
"CG9316","blue",1
"CG9326","grey",1
"CG9331","black",1
"CG9368","grey",1
"CG9373","grey",1
"CG9392","brown",NA
"CG9412","turquoise",1
"CG9414","grey",1
"CG9415","grey",2
"CG9418","grey",2
"CG9423","grey",2
"CG9426","grey",1
"CG9470","grey",NA
"CG9493","grey",1
"CG9506","grey",NA
"CG9511","grey",1
"CG9520","grey",1
"CG9527","grey",1
"CG9539","grey",2
"CG9541","brown",1
"CG9572","green",1
"CG9573","grey",NA
"CG9588","yellow",1
"CG9610","turquoise",NA
"CG9614","black",2
"CG9638","grey",NA
"CG9640","grey",1
"CG9654","grey",NA
"CG9665","grey",1
"CG9696","brown",NA
"CG9699","red",NA
"CG9704","turquoise",1
"CG9740","grey",1
"CG9745","grey",NA
"CG9769","grey",1
"CG9774","turquoise",2
"CG9776","blue",1
"CG9784","grey",1
"CG9796","grey",1
"CG9797","grey",NA
"CG9842","turquoise",1
"CG9868","blue",1
"CG9871","grey",NA
"CG9893","grey",2
"CG9902","green",NA
"CG9908","red",2
"CG9911","green",1
"CG9916","blue",2
"CG9924","brown",NA
"CG9925","brown",NA
"CG9930","blue",NA
"CG9933","grey",NA
"CG9938","grey",1
"CG9951","grey",1
"CG9975","grey",1
"CG9986","black",1
