"nodenames","colorh1","essentiality"
"CG13373","yellow",NA
"CG13379","grey",1
"CG13389","green",2
"CG13405","grey",NA
"CG13407","grey",1
"CG13423","grey",NA
"CG13434","grey",NA
"CG13458","grey",1
"CG13474","grey",1
"CG13476","grey",NA
"CG13510","blue",1
"CG13512","green",NA
"CG13521","turquoise",1
"CG13526","grey",NA
"CG13576","green",1
"CG13625","blue",1
"CG13627","grey",1
"CG13651","brown",NA
"CG13662","black",NA
"CG13701","turquoise",NA
"CG13731","red",NA
"CG13733","grey",1
"CG1374","turquoise",2
"CG13745","yellow",NA
"CG1378","brown",2
"CG13811","grey",1
"CG13838","grey",1
"CG13840","grey",1
"CG13843","black",1
"CG13871","grey",1
"CG1389","turquoise",2
"CG1391","red",NA
"CG13913","grey",1
"CG1395","turquoise",2
"CG13996","grey",1
"CG14011","green",1
"CG14025","grey",1
"CG14026","turquoise",2
"CG14030","green",1
"CG14044","grey",1
"CG14071","grey",NA
"CG14089","grey",NA
"CG14119","blue",NA
"CG14126","green",1
"CG14133","grey",1
"CG14145","grey",1
"CG1417","grey",1
"CG14204","red",NA
"CG14206","yellow",1
"CG14207","grey",1
"CG1422","grey",1
"CG14224","grey",1
"CG14226","brown",2
"CG14228","brown",2
"CG14232","grey",1
"CG14243","grey",1
"CG14317","yellow",1
"CG14410","grey",1
"CG14478","grey",1
"CG14487","turquoise",1
"CG14506","grey",NA
"CG1451","turquoise",NA
"CG14534","blue",NA
"CG14540","black",1
"CG14546","grey",1
"CG14548","turquoise",1
"CG14549","grey",1
"CG14612","grey",1
"CG14625","grey",1
"CG14634","grey",NA
"CG1464","brown",2
"CG14641","grey",1
"CG14667","green",1
"CG1467","grey",1
"CG14684","grey",NA
"CG1472","grey",NA
"CG14724","grey",1
"CG1474","grey",1
"CG14744","yellow",NA
"CG1475","blue",1
"CG1478","grey",1
"CG14815","grey",1
"CG14818","grey",1
"CG14820","grey",1
"CG14868","grey",1
"CG14869","grey",1
"CG1487","grey",NA
"CG14881","blue",1
"CG14904","grey",1
"CG14941","brown",2
"CG14996","grey",NA
"CG15067","grey",1
"CG15071","grey",1
"CG15080","grey",1
"CG15109","black",1
"CG15112","turquoise",NA
"CG1512","yellow",NA
"CG15124","blue",1
"CG15141","green",1
"CG15150","grey",NA
"CG15167","grey",NA
"CG15218","blue",1
"CG15224","grey",NA
"CG15293","grey",NA
"CG15308","grey",NA
"CG15319","yellow",2
"CG15365","grey",NA
"CG15370","red",NA
"CG15422","grey",1
"CG15436","grey",NA
"CG15437","turquoise",1
"CG15440","grey",1
"CG15482","grey",1
"CG15489","red",NA
"CG15524","grey",1
"CG15529","grey",1
"CG15564","red",1
"CG15580","grey",NA
"CG1560","turquoise",NA
"CG15631","grey",NA
"CG15634","grey",1
"CG15646","grey",NA
"CG15669","grey",NA
"CG1567","green",1
"CG15676","black",NA
"CG15690","red",1
"CG15693","grey",NA
"CG15737","grey",1
"CG15764","grey",NA
"CG15771","red",1
"CG15772","turquoise",1
"CG15781","red",NA
"CG15792","turquoise",2
"CG15793","turquoise",2
"CG15800","yellow",NA
"CG15884","grey",NA
"CG1594","brown",2
"CG1635","grey",NA
"CG1641","grey",2
"CG1643","grey",1
"CG16721","grey",1
"CG16728","grey",1
"CG16747","grey",2
"CG1676","grey",1
"CG16812","grey",1
"CG16884","black",1
"CG1689","turquoise",NA
"CG16899","grey",NA
"CG16947","green",1
"CG16972","grey",NA
"CG16973","turquoise",2
"CG16983","yellow",NA
"CG16985","grey",1
"CG17018","grey",1
"CG17050","grey",NA
"CG17077","turquoise",NA
"CG17086","green",1
"CG17107","grey",NA
"CG17117","brown",2
"CG17136","grey",NA
"CG17153","grey",NA
"CG17158","grey",2
"CG17161","yellow",NA
"CG17216","grey",NA
"CG17237","grey",NA
"CG1725","brown",2
"CG17265","grey",NA
"CG17271","grey",NA
"CG17291","blue",NA
"CG17342","grey",NA
"CG17358","grey",1
"CG17377","red",NA
"CG17420","grey",NA
"CG17446","grey",1
"CG17450","grey",NA
"CG17489","grey",NA
"CG17498","yellow",1
"CG17520","yellow",NA
"CG17521","red",NA
"CG17568","grey",NA
"CG17579","turquoise",2
"CG1759","red",2
"CG17592","grey",1
"CG17599","grey",1
"CG17604","grey",NA
"CG17610","turquoise",NA
"CG17666","green",NA
"CG17667","grey",1
"CG17697","turquoise",NA
"CG1771","turquoise",2
"CG1772","yellow",2
"CG17743","brown",NA
"CG1775","turquoise",2
"CG17769","grey",1
"CG17776","grey",1
"CG17777","grey",1
"CG17778","grey",1
"CG17826","black",NA
"CG17829","grey",1
"CG17835","grey",NA
"CG17855","grey",1
"CG17870","grey",1
"CG17894","grey",NA
"CG17903","grey",1
"CG17927","brown",NA
"CG17943","turquoise",NA
"CG17945","green",NA
"CG17946","green",NA
"CG17957","black",1
"CG17964","blue",2
"CG18085","turquoise",1
"CG18102","turquoise",NA
"CG1821","grey",1
"CG18214","turquoise",NA
"CG18217","grey",NA
"CG18259","grey",NA
"CG18292","grey",1
"CG18345","grey",NA
"CG18350","grey",NA
"CG1836","grey",1
"CG18361","turquoise",NA
"CG18396","red",1
"CG18398","grey",1
"CG18402","turquoise",NA
"CG18412","brown",NA
"CG1848","green",1
"CG1849","brown",2
"CG18492","turquoise",NA
"CG18497","turquoise",NA
"CG18506","brown",1
"CG1856","brown",2
"CG1857","turquoise",2
"CG18582","yellow",1
"CG18584","grey",1
"CG18616","grey",1
"CG18627","grey",1
"CG18740","turquoise",NA
"CG18743","grey",NA
"CG18754","yellow",NA
"CG18764","grey",1
"CG18803","turquoise",NA
"CG18806","blue",1
"CG1883","grey",1
"CG18854","grey",1
"CG1891","turquoise",2
"CG1894","green",NA
"CG1903","turquoise",NA
"CG1913","black",2
"CG1921","turquoise",NA
"CG1945","turquoise",NA
"CG1954","grey",NA
"CG1968","black",1
"CG2009","grey",NA
"CG2021","grey",1
"CG2033","green",1
"CG2047","brown",2
"CG2096","grey",NA
"CG2099","black",1
"CG2116","green",NA
"CG2125","turquoise",NA
"CG2146","grey",1
"CG2168","grey",2
"CG2174","grey",NA
"CG2189","brown",2
"CG2199","grey",1
"CG2216","grey",2
"CG2238","grey",1
"CG2248","turquoise",2
"CG2275","turquoise",2
"CG2360","grey",NA
"CG2371","grey",1
"CG2411","yellow",2
"CG2621","turquoise",NA
"CG2647","turquoise",1
"CG2674","brown",2
"CG2678","grey",NA
"CG2713","brown",1
"CG2746","turquoise",2
"CG2759","brown",NA
"CG2830","brown",NA
"CG2843","grey",1
"CG2845","turquoise",2
"CG2865","blue",1
"CG2899","turquoise",2
"CG2910","grey",1
"CG2917","yellow",NA
"CG2925","grey",2
"CG2926","grey",NA
"CG2944","blue",NA
"CG2948","blue",1
"CG2960","grey",1
"CG2985","grey",1
"CG30077","grey",1
"CG30084","grey",1
"CG30092","grey",NA
"CG30115","green",1
"CG30122","grey",NA
"CG3018","blue",2
"CG30327","grey",1
"CG30497","grey",1
"CG3052","grey",1
"CG3056","red",NA
"CG3075","brown",1
"CG3081","red",1
"CG3085","grey",1
"CG3099","grey",NA
"CG31029","grey",1
"CG31034","grey",NA
"CG31036","grey",1
"CG31045","grey",NA
"CG31120","green",1
"CG3114","grey",2
"CG31160","red",NA
"CG31175","grey",NA
"CG31196","turquoise",NA
"CG31211","grey",1
"CG31232","yellow",NA
"CG31247","grey",NA
"CG31317","turquoise",NA
"CG31359","grey",NA
"CG31362","grey",NA
"CG31363","grey",1
"CG31366","grey",NA
"CG31449","grey",NA
"CG31481","turquoise",NA
"CG31482","grey",1
"CG31550","grey",1
"CG31626","green",NA
"CG3166","turquoise",NA
"CG31764","black",NA
"CG3187","red",1
"CG3193","blue",NA
"CG31973","grey",1
"CG31999","green",NA
"CG32016","grey",1
"CG3203","grey",1
"CG32086","grey",NA
"CG32096","grey",NA
"CG32134","turquoise",NA
"CG32156","red",NA
"CG3217","grey",NA
"CG32217","turquoise",NA
"CG3225","grey",1
"CG32276","grey",1
"CG3234","turquoise",2
"CG32369","green",1
"CG3241","grey",2
"CG32443","brown",NA
"CG32491","black",NA
"CG32498","turquoise",NA
"CG32514","grey",1
"CG32542","red",2
"CG32581","grey",NA
"CG32635","grey",NA
"CG32654","green",NA
"CG32772","black",NA
"CG32809","grey",NA
"CG32810","grey",1
"CG32819","grey",NA
"CG32820","grey",NA
"CG33017","grey",NA
"CG33101","turquoise",NA
"CG33103","grey",NA
"CG33106","turquoise",NA
"CG33133","grey",NA
"CG33141","grey",NA
"CG33193","grey",NA
"CG33197","grey",NA
"CG3325","grey",2
"CG33261","brown",NA
"CG33336","yellow",1
"CG3340","turquoise",2
"CG3342","grey",1
"CG33484","grey",NA
"CG3352","turquoise",2
"CG33531","grey",NA
"CG33553","grey",NA
"CG3365","grey",1
"CG3388","turquoise",2
"CG33956","turquoise",NA
"CG3411","turquoise",2
"CG3427","grey",NA
"CG3496","grey",2
"CG3497","turquoise",NA
"CG3506","grey",NA
"CG3510","grey",2
"CG3578","turquoise",NA
"CG3595","turquoise",2
"CG3610","grey",NA
"CG3619","turquoise",2
"CG3620","green",1
"CG3629","blue",2
"CG3644","grey",2
"CG3665","turquoise",2
"CG3668","grey",1
"CG3696","turquoise",NA
"CG3722","turquoise",NA
"CG3727","turquoise",2
"CG3757","brown",2
"CG3758","red",2
"CG3779","turquoise",2
"CG3780","green",1
"CG3796","turquoise",1
"CG3827","grey",NA
"CG3830","turquoise",2
"CG3839","turquoise",2
"CG3880","grey",1
"CG3886","brown",2
"CG3905","brown",NA
"CG3923","grey",2
"CG3924","brown",2
"CG3929","grey",2
"CG3936","turquoise",NA
"CG3937","brown",1
"CG3938","turquoise",2
"CG3953","red",2
"CG3954","turquoise",NA
"CG3978","turquoise",2
"CG4006","yellow",1
"CG40127","grey",NA
"CG4027","grey",1
"CG40306","turquoise",NA
"CG4032","turquoise",1
"CG4057","grey",1
"CG4059","turquoise",2
"CG4063","turquoise",2
"CG4082","yellow",1
"CG4087","red",2
"CG4097","turquoise",2
"CG41099","grey",NA
"CG4116","red",1
"CG4141","blue",2
"CG4148","grey",NA
"CG4162","grey",2
"CG4167","green",1
"CG4216","green",NA
"CG4220","turquoise",1
"CG4244","turquoise",2
"CG4252","blue",NA
"CG4257","brown",NA
"CG4264","brown",2
"CG4276","grey",1
"CG4303","grey",1
"CG4319","turquoise",NA
"CG4328","grey",1
"CG4336","yellow",2
"CG4345","turquoise",1
"CG4353","turquoise",NA
"CG4354","turquoise",2
"CG4379","turquoise",2
"CG4385","turquoise",2
"CG4394","grey",1
"CG4426","turquoise",2
"CG4444","turquoise",NA
"CG4488","turquoise",2
"CG4528","grey",2
"CG4531","turquoise",2
"CG4550","green",1
"CG4608","turquoise",2
"CG4617","grey",1
"CG4637","turquoise",2
"CG4654","turquoise",2
"CG4711","yellow",NA
"CG4755","grey",1
"CG4767","red",1
"CG4818","grey",NA
"CG4820","grey",NA
"CG4821","red",1
"CG4832","grey",2
"CG4835","black",1
"CG4843","grey",2
"CG4853","black",1
"CG4863","red",1
"CG4887","grey",1
"CG4889","turquoise",2
"CG4897","grey",1
"CG4920","brown",NA
"CG4952","turquoise",2
"CG4959","green",1
"CG4974","turquoise",NA
"CG5009","blue",1
"CG5053","grey",1
"CG5072","yellow",2
"CG5085","yellow",NA
"CG5094","grey",1
"CG5099","grey",NA
"CG5102","turquoise",NA
"CG5109","brown",2
"CG5111","grey",1
"CG5119","brown",2
"CG5123","turquoise",2
"CG5203","black",1
"CG5212","brown",NA
"CG5272","grey",NA
"CG5303","grey",1
"CG5352","grey",NA
"CG5354","yellow",NA
"CG5359","grey",1
"CG5363","turquoise",NA
"CG5370","turquoise",2
"CG5408","turquoise",2
"CG5433","yellow",2
"CG5450","grey",NA
"CG5460","turquoise",2
"CG5466","grey",1
"CG5481","turquoise",2
"CG5490","turquoise",2
"CG5494","grey",NA
"CG5501","grey",NA
"CG5529","turquoise",NA
"CG5553","yellow",2
"CG5562","turquoise",2
"CG5595","brown",NA
"CG5637","grey",NA
"CG5642","grey",1
"CG5643","blue",NA
"CG5650","grey",2
"CG5671","blue",NA
"CG5680","black",NA
"CG5692","grey",2
"CG5709","grey",2
"CG5735","yellow",1
"CG5783","yellow",1
"CG5792","grey",1
"CG5834","grey",NA
"CG5848","brown",2
"CG5940","yellow",2
"CG5942","turquoise",NA
"CG5993","brown",NA
"CG6033","turquoise",2
"CG6054","turquoise",2
"CG6127","turquoise",2
"CG6134","brown",2
"CG6147","blue",NA
"CG6156","grey",1
"CG6193","turquoise",NA
"CG6235","turquoise",2
"CG6287","grey",1
"CG6348","turquoise",2
"CG6358","blue",1
"CG6376","turquoise",2
"CG6383","brown",NA
"CG6416","grey",NA
"CG6459","black",1
"CG6489","grey",1
"CG6494","turquoise",2
"CG6500","turquoise",NA
"CG6502","brown",2
"CG6551","turquoise",2
"CG6667","brown",2
"CG6705","grey",2
"CG6721","turquoise",2
"CG6770","grey",1
"CG6775","turquoise",2
"CG6779","grey",2
"CG6800","yellow",1
"CG6811","yellow",1
"CG6824","turquoise",NA
"CG6829","turquoise",2
"CG6889","turquoise",2
"CG7001","grey",1
"CG7109","green",2
"CG7134","yellow",1
"CG7147","turquoise",2
"CG7186","yellow",NA
"CG7223","turquoise",2
"CG7236","yellow",1
"CG7357","grey",1
"CG7386","grey",1
"CG7405","yellow",1
"CG7413","turquoise",2
"CG7425","turquoise",2
"CG7467","turquoise",NA
"CG7487","yellow",NA
"CG7508","turquoise",NA
"CG7524","green",2
"CG7583","brown",2
"CG7614","yellow",NA
"CG7643","yellow",NA
"CG7672","turquoise",2
"CG7734","turquoise",NA
"CG7753","grey",NA
"CG7757","grey",1
"CG7765","grey",2
"CG7776","brown",2
"CG7803","brown",NA
"CG7809","red",1
"CG7826","yellow",1
"CG7850","turquoise",NA
"CG7856","grey",1
"CG7873","turquoise",NA
"CG7875","grey",1
"CG7892","turquoise",NA
"CG7904","turquoise",2
"CG7926","turquoise",2
"CG7958","turquoise",NA
"CG8075","turquoise",NA
"CG8091","turquoise",1
"CG8114","turquoise",2
"CG8118","turquoise",NA
"CG8128","yellow",NA
"CG8201","blue",NA
"CG8203","yellow",1
"CG8293","turquoise",1
"CG8355","turquoise",2
"CG8365","turquoise",2
"CG8376","turquoise",2
"CG8384","turquoise",2
"CG8409","brown",2
"CG8416","turquoise",NA
"CG8455","yellow",NA
"CG8532","turquoise",2
"CG8544","turquoise",NA
"CG8573","brown",NA
"CG8651","brown",NA
"CG8787","brown",2
"CG8817","turquoise",2
"CG8881","yellow",1
"CG8887","brown",2
"CG8974","grey",NA
"CG9015","grey",2
"CG9045","grey",NA
"CG9096","yellow",NA
"CG9183","yellow",2
"CG9206","grey",2
"CG9224","turquoise",NA
"CG9248","yellow",1
"CG9273","yellow",1
"CG9375","turquoise",2
"CG9495","brown",NA
"CG9553","turquoise",2
"CG9554","turquoise",2
"CG9623","turquoise",2
"CG9653","red",2
"CG9695","turquoise",2
"CG9739","turquoise",2
"CG9786","grey",2
"CG9790","yellow",1
"CG9856","turquoise",2
"CG9885","turquoise",2
"CG9936","brown",NA
"CG9949","turquoise",1
"FBgn0024192","turquoise",NA
"CG10072","turquoise",2
"CG10571","blue",2
"CG11824","blue",1
"CG11963","blue",1
"CG12723","blue",1
"CG13806","blue",1
"CG13900","blue",1
"CG14578","red",NA
"CG14816","blue",1
"CG15006","blue",NA
"CG15043","blue",1
"CG15861","blue",1
"CG16993","turquoise",2
"CG17170","brown",NA
"CG17230","grey",1
"CG17309","blue",NA
"CG1740","grey",2
"CG17508","blue",NA
"CG1765","blue",2
"CG18067","grey",1
"CG18273","blue",NA
"CG18332","blue",1
"CG1851","grey",1
"CG18619","grey",1
"CG1871","blue",1
"CG18734","green",NA
"CG18745","blue",1
"CG2328","turquoise",2
"CG2540","grey",1
"CG2709","grey",NA
"CG2774","grey",1
"CG2851","grey",2
"CG2934","grey",1
"CG2986","red",2
"CG30011","grey",1
"CG30425","grey",NA
"CG31000","blue",NA
"CG31038","blue",1
"CG31094","grey",NA
"CG31122","black",1
"CG31163","black",NA
"CG31204","blue",NA
"CG3151","grey",NA
"CG31534","black",1
"CG31640","grey",1
"CG31679","blue",NA
"CG31695","turquoise",2
"CG31811","blue",NA
"CG31839","green",1
"CG3186","yellow",2
"CG31958","grey",NA
"CG32045","blue",NA
"CG32100","grey",1
"CG32130","black",NA
"CG32139","blue",NA
"CG32169","blue",NA
"CG32171","grey",NA
"CG32264","grey",NA
"CG32354","grey",1
"CG32381","blue",NA
"CG32584","grey",NA
"CG32705","red",NA
"CG3294","grey",1
"CG33275","blue",1
"CG33522","grey",NA
"CG33950","turquoise",NA
"CG3613","grey",1
"CG3642","red",1
"CG3647","grey",2
"CG3661","grey",1
"CG3689","grey",1
"CG3731","grey",1
"CG3847","grey",1
"CG3850","blue",1
"CG3851","black",2
"CG3858","red",1
"CG3891","grey",1
"CG3895","brown",NA
"CG3918","grey",1
"CG3922","grey",2
"CG40460","grey",NA
"CG4071","grey",1
"CG4168","grey",NA
"CG4183","grey",1
"CG4184","blue",NA
"CG4209","turquoise",1
"CG4270","grey",1
"CG4335","yellow",NA
"CG4463","grey",1
"CG4491","grey",2
"CG4533","blue",2
"CG4602","grey",1
"CG4673","blue",NA
"CG4697","brown",NA
"CG4700","yellow",2
"CG4717","brown",NA
"CG4730","black",NA
"CG4753","grey",1
"CG4759","grey",1
"CG4761","brown",1
"CG4771","blue",1
"CG4795","grey",NA
"CG4799","grey",1
"CG4865","grey",1
"CG4877","grey",NA
"CG4878","blue",NA
"CG4896","grey",1
"CG4898","grey",2
"CG4918","grey",NA
"CG4998","grey",1
"CG5005","grey",1
"CG5050","grey",NA
"CG5057","grey",1
"CG5062","grey",1
"CG5064","grey",1
"CG5105","grey",1
"CG5134","grey",1
"CG5140","grey",1
"CG5149","grey",1
"CG5164","grey",1
"CG5225","red",NA
"CG5271","grey",NA
"CG5325","grey",1
"CG5358","red",1
"CG5376","grey",NA
"CG5380","grey",NA
"CG5383","grey",NA
"CG5390","blue",NA
"CG5410","brown",NA
"CG5422","grey",NA
"CG5441","grey",NA
"CG5461","turquoise",NA
"CG5462","brown",2
"CG5468","grey",NA
"CG5471","grey",1
"CG5473","blue",NA
"CG5478","grey",1
"CG5502","grey",1
"CG5537","grey",1
"CG5546","grey",1
"CG5568","blue",NA
"CG5576","grey",1
"CG5618","black",1
"CG5670","green",NA
"CG5674","grey",1
"CG5700","grey",1
"CG5708","blue",1
"CG5711","green",1
"CG5717","grey",1
"CG5731","blue",NA
"CG5738","turquoise",2
"CG5814","grey",2
"CG5820","turquoise",2
"CG5825","blue",1
"CG5832","grey",1
"CG5846","grey",1
"CG5884","grey",2
"CG5890","grey",1
"CG5893","grey",2
"CG5920","grey",2
"CG5923","red",1
"CG5930","black",1
"CG5933","grey",NA
"CG5939","grey",2
"CG5962","green",1
"CG6046","grey",1
"CG6058","grey",NA
"CG6163","grey",NA
"CG6172","grey",2
"CG6175","black",1
"CG6191","blue",NA
"CG6196","grey",1
"CG6203","brown",2
"CG6222","grey",2
"CG6240","grey",1
"CG6251","grey",1
"CG6253","grey",2
"CG6315","grey",2
"CG6338","green",2
"CG6353","grey",1
"CG6357","brown",NA
"CG6378","green",1
"CG6380","grey",1
"CG6398","grey",1
"CG6447","grey",NA
"CG6464","brown",NA
"CG6474","brown",2
"CG6478","grey",1
"CG6510","grey",1
"CG6519","grey",1
"CG6521","blue",1
"CG6534","red",2
"CG6544","grey",1
"CG6569","grey",1
"CG6570","black",1
"CG6576","grey",1
"CG6593","grey",NA
"CG6607","green",NA
"CG6608","black",NA
"CG6660","grey",NA
"CG6688","grey",1
"CG6707","red",1
"CG6716","turquoise",NA
"CG6720","grey",2
"CG6741","grey",1
"CG6755","grey",1
"CG6757","grey",1
"CG6801","grey",NA
"CG6808","grey",1
"CG6819","grey",2
"CG6843","grey",1
"CG6856","grey",1
"CG6864","green",NA
"CG6866","grey",1
"CG6891","grey",1
"CG6904","grey",1
"CG6905","grey",1
"CG6923","blue",1
"CG6933","green",1
"CG6945","grey",1
"CG6972","grey",1
"CG6975","blue",2
"CG6985","blue",1
"CG6998","grey",NA
"CG7010","grey",NA
"CG7017","green",1
"CG7021","grey",1
"CG7041","grey",1
"CG7056","grey",1
"CG7057","blue",NA
"CG7103","turquoise",1
"CG7104","grey",1
"CG7111","grey",1
"CG7113","grey",2
"CG7123","green",NA
"CG7146","black",1
"CG7171","grey",1
"CG7172","grey",NA
"CG7191","grey",1
"CG7196","grey",1
"CG7231","grey",1
"CG7238","grey",1
"CG7264","grey",1
"CG7281","blue",1
"CG7285","green",1
"CG7296","blue",NA
"CG7347","grey",1
"CG7352","brown",NA
"CG7371","grey",1
"CG7379","grey",1
"CG7392","grey",2
"CG7399","grey",2
"CG7404","grey",1
"CG7417","grey",1
